temperature,humidity,visibility,wind_speed,hour,weather_condition,risk_level
22.06,96.8,6.14,33.63,21,Clear,Low
13.95,70.9,12.87,11.71,21,Clear,Low
3.37,42.9,10.32,0.41,18,Clear,Low
3.52,96.9,12.94,13.64,18,Thunderstorm,Medium
32.36,46.7,5.82,4.79,6,Clear,Low
13.12,71.1,10.2,8.23,21,Clear,Low
34.68,60.4,6.31,1.6,18,Clear,Low
8.84,57.2,9.74,9.85,1,Fog,Medium
18.49,78.8,13.43,7.1,14,Cloudy,Low
43.71,69.4,4.72,6.6,10,Fog,High
2.31,74.2,4.89,4.55,3,Thunderstorm,High
-7.77,50.3,11.87,7.48,7,Rain,High
30.44,61.9,8.96,5.12,22,Clear,Low
5.08,51.1,12.51,12.31,11,Thunderstorm,Low
14.75,61.4,6.58,19.99,3,Cloudy,Low
7.97,62.9,9.15,15.25,19,Cloudy,Low
18.22,98.2,11.06,23.69,5,Rain,Low
3.59,60.3,9.63,7.51,11,Rain,High
12.84,26.7,3.63,14.92,3,Thunderstorm,High
20.4,90.1,15.0,15.28,0,Thunderstorm,High
2.9,73.1,9.64,22.36,23,Cloudy,Medium
6.6,62.6,4.98,5.43,16,Clear,Low
10.83,57.1,9.94,19.1,14,Fog,High
-2.15,48.0,10.29,4.28,0,Clear,Low
9.93,99.9,11.98,6.87,14,Cloudy,Low
16.43,65.9,11.78,8.77,2,Clear,Low
10.21,33.7,8.36,16.08,3,Cloudy,High
11.74,70.9,3.83,2.22,17,Cloudy,High
14.76,86.7,10.38,3.47,12,Rain,Medium
7.13,67.8,4.07,6.19,19,Thunderstorm,High
23.29,48.8,12.65,12.44,8,Fog,Medium
32.23,47.2,6.8,3.57,7,Cloudy,Medium
9.43,48.5,10.9,14.38,19,Clear,Medium
20.82,92.4,7.03,8.78,13,Cloudy,Low
12.12,63.7,7.52,17.92,21,Cloudy,Low
19.39,34.8,6.6,12.57,13,Cloudy,Low
33.79,71.9,11.15,27.77,4,Fog,High
21.1,67.5,7.14,13.09,1,Cloudy,Low
-6.28,56.9,11.31,1.03,5,Clear,Medium
20.45,46.6,7.21,10.09,13,Rain,Medium
29.79,45.8,8.31,12.19,15,Clear,Low
12.34,84.6,9.11,3.82,0,Clear,Medium
26.95,69.5,9.46,25.65,6,Heavy Rain,High
6.72,73.6,6.23,9.21,19,Clear,Low
-2.83,69.4,11.11,6.2,9,Rain,High
16.69,70.9,8.19,13.63,17,Snow,High
-6.08,56.6,10.63,3.84,8,Clear,High
12.12,61.3,8.95,20.7,6,Cloudy,Low
30.44,86.0,10.76,18.89,16,Cloudy,Medium
-7.92,90.5,7.77,13.18,6,Rain,Medium
-0.35,43.0,6.63,17.32,15,Thunderstorm,High
2.62,61.3,10.28,7.5,4,Fog,High
14.24,80.1,7.52,1.52,18,Clear,Low
10.61,98.9,13.38,9.07,22,Cloudy,Low
31.79,97.1,9.2,7.49,21,Clear,Low
26.45,50.7,4.88,6.33,20,Clear,Low
20.94,88.0,7.24,2.48,0,Cloudy,Low
16.75,66.1,6.0,0.93,20,Clear,Low
19.72,83.8,12.22,2.52,14,Cloudy,Low
4.66,79.2,11.32,24.0,11,Rain,Medium
25.29,42.2,8.82,16.61,19,Cloudy,Low
1.66,74.9,9.87,20.68,19,Snow,High
25.02,83.1,8.74,16.59,22,Snow,Low
29.23,64.6,11.58,21.75,14,Rain,Low
17.53,60.6,10.56,12.24,16,Cloudy,Medium
12.89,36.7,11.1,25.64,7,Clear,Low
19.8,77.3,8.42,0.92,16,Clear,Low
-19.34,68.8,7.11,11.39,10,Clear,Medium
18.63,48.4,11.0,2.78,15,Thunderstorm,Low
13.64,59.1,13.65,23.18,9,Cloudy,Medium
14.39,67.8,12.32,15.78,4,Cloudy,Medium
23.48,54.9,13.74,22.68,8,Cloudy,Low
14.1,65.0,9.49,0.63,8,Rain,Medium
1.32,33.5,6.09,6.58,5,Fog,Medium
13.3,89.3,6.36,4.06,2,Clear,Low
15.81,65.3,13.14,15.25,9,Snow,High
16.38,45.2,3.41,8.15,12,Cloudy,Low
16.94,20.7,13.51,18.8,14,Clear,Low
27.47,83.5,6.64,12.28,14,Cloudy,Low
1.97,75.0,14.77,7.17,4,Cloudy,Medium
17.11,68.8,8.79,2.94,3,Clear,Low
30.48,80.5,11.17,12.74,3,Clear,Low
-5.82,80.5,15.0,16.19,16,Rain,High
17.16,68.5,8.01,7.95,16,Rain,Medium
7.98,60.4,7.96,11.25,12,Rain,Low
10.55,57.5,6.92,2.84,12,Cloudy,Low
4.14,72.6,5.99,2.01,15,Cloudy,Low
12.97,90.1,8.01,6.1,8,Fog,Medium
37.1,63.1,7.34,13.11,17,Fog,Medium
-0.17,91.6,5.25,5.64,21,Clear,Low
0.96,71.7,8.37,5.88,5,Clear,Low
-0.62,71.9,10.35,13.04,11,Rain,Medium
35.73,100.0,6.31,8.84,7,Clear,Medium
9.45,94.7,8.51,3.56,7,Heavy Rain,High
14.69,95.2,13.22,9.23,9,Clear,Low
10.17,50.6,4.74,8.87,5,Clear,Low
3.67,100.0,14.8,12.4,8,Snow,Medium
12.18,63.5,6.98,9.77,7,Clear,Low
44.5,60.9,9.6,13.49,19,Clear,Low
31.7,26.1,12.84,11.56,6,Snow,Medium
4.76,70.9,13.75,19.38,2,Clear,Low
22.77,45.5,10.41,26.26,20,Cloudy,Low
5.02,72.3,6.92,11.86,21,Cloudy,Low
-6.32,44.1,6.65,6.41,21,Clear,Medium
27.23,97.4,7.28,0.93,4,Clear,Low
28.92,74.9,14.67,17.82,9,Clear,Low
27.55,100.0,7.85,3.88,6,Cloudy,Low
9.36,46.6,9.97,33.13,6,Thunderstorm,Low
13.0,92.9,5.87,37.01,22,Rain,High
24.0,32.6,5.53,10.08,3,Rain,Medium
19.7,68.7,9.08,2.99,14,Rain,Low
10.28,53.6,8.03,17.88,17,Heavy Rain,High
-4.43,56.9,8.24,30.89,1,Cloudy,High
16.37,55.7,4.56,0.19,21,Thunderstorm,High
27.95,48.5,8.78,29.08,5,Rain,Medium
0.63,42.3,13.65,4.64,9,Rain,Low
22.67,57.0,6.44,1.09,12,Clear,Low
18.98,67.1,11.69,14.78,20,Heavy Rain,Medium
24.0,85.9,0.1,21.15,23,Cloudy,High
25.46,70.3,6.59,11.4,5,Heavy Rain,Medium
6.67,86.0,3.27,16.04,9,Snow,High
-4.4,38.4,12.71,21.94,14,Clear,Low
8.6,57.2,11.64,22.98,9,Cloudy,Low
25.67,77.8,5.9,6.4,1,Fog,Medium
8.5,71.2,9.87,4.23,18,Clear,Low
6.67,49.5,12.61,21.48,13,Heavy Rain,Medium
-6.86,81.8,13.07,16.09,3,Cloudy,Medium
36.03,55.4,7.78,17.3,15,Cloudy,Medium
24.91,51.0,2.37,6.05,21,Fog,Medium
24.24,73.8,6.3,17.74,15,Rain,Low
26.61,65.1,11.3,2.15,11,Cloudy,Low
21.92,55.6,15.0,14.23,18,Rain,Low
12.07,55.0,8.84,13.01,6,Clear,Low
13.03,45.7,7.18,13.07,2,Clear,Low
9.87,57.9,15.0,19.03,11,Rain,Low
45.0,84.8,10.22,2.82,6,Snow,Medium
21.67,69.4,5.32,18.09,11,Rain,Medium
9.43,82.3,8.64,12.19,16,Cloudy,Medium
20.59,74.3,12.0,4.88,20,Clear,Low
2.87,54.0,8.79,0.1,14,Clear,Low
33.05,35.3,11.38,29.0,14,Clear,Low
7.07,48.3,4.18,11.37,22,Thunderstorm,High
21.01,52.9,4.7,8.81,21,Cloudy,Low
27.79,51.5,6.8,1.71,18,Heavy Rain,Medium
19.62,82.7,8.15,21.8,21,Clear,Low
16.13,82.5,10.0,21.1,11,Cloudy,Low
15.13,100.0,10.91,19.37,18,Clear,Low
14.32,51.3,15.0,11.45,12,Thunderstorm,Medium
8.08,93.8,6.78,18.76,14,Clear,Low
9.61,93.6,8.06,4.59,15,Clear,Low
32.76,60.8,6.87,13.96,1,Clear,Low
13.7,73.5,12.24,11.51,0,Clear,Medium
5.57,87.3,12.4,14.4,22,Clear,Low
8.8,63.9,7.66,4.32,8,Thunderstorm,High
28.2,62.5,15.0,28.83,1,Fog,Medium
23.11,53.7,6.87,26.57,2,Cloudy,Medium
21.72,22.5,12.09,1.65,0,Snow,High
11.91,66.3,13.36,17.2,5,Cloudy,Low
21.88,52.2,4.92,1.38,17,Fog,Medium
7.28,45.6,10.73,12.75,19,Clear,Low
11.88,72.6,0.82,7.76,1,Cloudy,Medium
26.64,38.9,11.47,9.37,13,Clear,Low
25.49,79.5,5.7,7.61,15,Fog,Medium
3.22,73.7,10.7,22.41,20,Cloudy,Low
4.73,57.8,11.26,27.02,21,Clear,Low
16.3,63.9,12.36,27.22,21,Clear,Low
35.71,43.6,11.67,22.42,17,Cloudy,High
-7.99,78.5,9.17,12.74,19,Cloudy,Medium
18.34,68.4,7.86,15.49,17,Rain,Medium
-1.51,69.7,8.78,15.45,18,Heavy Rain,High
7.39,74.0,5.65,1.38,21,Rain,Low
10.63,53.4,8.36,22.31,3,Cloudy,Medium
9.95,37.7,8.13,18.21,2,Cloudy,Medium
8.59,82.2,6.64,18.63,6,Thunderstorm,Medium
15.09,77.4,3.78,8.53,22,Cloudy,Medium
8.58,55.4,5.17,16.07,16,Cloudy,Low
-2.55,72.4,0.1,21.05,11,Rain,High
24.36,87.6,8.08,11.86,7,Rain,Medium
24.03,85.5,10.08,7.49,4,Fog,Medium
25.12,54.8,0.95,0.26,9,Cloudy,High
-3.49,38.2,9.71,0.91,22,Cloudy,Low
18.59,41.3,8.63,13.39,22,Rain,Medium
23.11,59.4,5.47,9.89,23,Rain,Medium
2.63,91.3,7.71,9.76,16,Clear,Low
15.11,51.9,12.15,25.76,14,Fog,Low
13.6,54.3,6.08,0.7,2,Clear,Low
37.11,53.9,9.24,8.89,14,Clear,Low
38.09,55.4,10.04,27.25,17,Rain,Medium
-4.97,64.8,6.53,9.19,10,Clear,Low
44.93,42.0,12.02,12.6,19,Clear,Low
4.02,84.5,10.21,10.42,14,Fog,Medium
26.77,62.4,8.24,18.35,21,Rain,Medium
26.65,100.0,15.0,6.5,2,Fog,High
3.05,43.9,12.04,10.17,16,Clear,Low
20.92,93.6,3.94,12.49,8,Clear,Low
13.71,90.0,7.83,3.02,2,Clear,High
21.65,57.6,15.0,15.09,7,Clear,Low
17.77,57.9,6.05,19.08,18,Cloudy,Medium
29.36,48.4,9.2,16.07,4,Thunderstorm,Medium
15.9,48.6,12.69,28.01,15,Cloudy,Low
12.99,65.0,10.96,8.1,4,Rain,Medium
28.15,65.4,11.39,16.49,10,Rain,Low
21.96,36.2,11.21,16.28,3,Clear,Medium
23.78,100.0,9.08,9.88,18,Clear,Low
7.02,60.3,6.62,22.2,20,Rain,Low
2.46,66.2,10.3,14.59,12,Clear,Low
8.19,53.7,7.79,1.19,9,Cloudy,Low
7.55,60.2,7.56,18.76,22,Rain,Low
24.43,58.6,13.45,7.51,22,Cloudy,Low
26.71,64.9,7.86,9.1,22,Clear,Low
13.14,64.7,14.12,9.76,18,Rain,Medium
32.17,79.5,9.77,18.62,5,Cloudy,Medium
31.42,69.1,8.52,21.71,3,Cloudy,High
17.92,77.7,3.55,10.56,10,Clear,Low
5.14,64.8,15.0,10.05,13,Heavy Rain,Low
33.9,69.2,8.98,6.42,4,Rain,Medium
14.27,60.7,2.19,5.61,3,Thunderstorm,High
16.51,83.1,11.96,3.48,7,Heavy Rain,High
10.92,70.8,8.85,14.8,8,Rain,Medium
4.32,62.2,6.21,11.04,5,Rain,Medium
-2.62,61.6,11.79,3.82,11,Cloudy,Low
22.59,63.0,1.35,13.37,12,Cloudy,High
5.6,65.5,6.86,11.39,2,Rain,Medium
45.0,64.0,8.1,10.86,0,Cloudy,Medium
1.97,54.9,11.56,21.97,0,Thunderstorm,High
-0.09,78.8,15.0,21.1,18,Cloudy,Medium
21.12,79.9,8.27,9.86,19,Clear,Low
33.35,97.1,10.38,15.17,3,Clear,Low
15.78,54.1,15.0,9.07,22,Clear,Medium
21.87,77.0,9.01,2.44,6,Fog,Medium
-7.12,30.6,10.4,31.47,21,Clear,Low
6.87,79.9,5.29,18.75,4,Snow,High
2.12,38.8,14.88,20.47,19,Cloudy,High
-7.74,47.3,6.86,9.44,8,Fog,High
16.4,71.0,9.81,22.13,18,Cloudy,Medium
-11.91,53.8,9.72,0.33,1,Snow,High
-0.87,51.3,9.26,9.79,13,Rain,High
8.55,56.3,7.7,18.66,20,Clear,Low
5.02,78.1,9.72,6.36,3,Cloudy,Low
19.76,48.2,14.27,20.2,9,Clear,Low
18.67,64.0,15.0,14.73,21,Clear,Low
25.73,58.2,8.47,13.89,22,Clear,Low
24.03,79.8,7.65,5.52,12,Clear,Low
28.69,80.3,6.57,15.64,1,Cloudy,Medium
14.98,32.0,15.0,29.39,22,Rain,Medium
18.64,83.8,9.39,13.58,4,Thunderstorm,Medium
21.14,54.0,12.35,17.0,9,Cloudy,Low
16.7,69.3,11.09,18.33,20,Heavy Rain,Low
10.23,48.1,15.0,1.7,2,Cloudy,Low
11.01,71.7,8.26,10.81,11,Cloudy,Low
5.19,100.0,5.68,10.53,14,Cloudy,Low
20.06,67.3,14.58,7.12,1,Snow,High
13.87,56.7,11.71,19.1,11,Clear,Low
7.04,60.8,10.37,3.61,1,Clear,Low
7.05,38.6,13.61,18.12,15,Rain,High
0.48,91.1,10.54,5.18,21,Clear,Low
26.75,70.6,13.71,30.38,4,Clear,Medium
15.94,46.1,9.74,9.49,6,Clear,Low
4.65,46.7,11.71,29.29,3,Clear,Low
24.7,65.3,10.58,10.45,9,Clear,Medium
8.27,81.8,8.02,11.52,0,Cloudy,Low
-1.88,44.3,8.38,26.1,21,Thunderstorm,High
27.25,85.0,7.82,3.74,2,Heavy Rain,High
8.55,63.4,9.8,12.45,16,Clear,Low
10.09,48.3,7.63,16.86,7,Clear,Low
15.49,56.6,10.31,15.63,18,Thunderstorm,Medium
28.71,96.5,10.21,12.39,1,Rain,High
15.24,40.0,9.62,11.15,11,Rain,Medium
0.61,51.8,9.67,19.62,2,Rain,High
21.53,82.1,7.3,13.59,16,Clear,Low
9.18,68.9,8.15,20.7,4,Clear,Low
37.66,50.8,3.99,15.53,14,Cloudy,Medium
14.99,82.4,8.64,17.85,9,Cloudy,High
-11.82,83.2,6.04,22.2,4,Thunderstorm,High
19.29,71.0,9.3,9.21,4,Clear,Medium
38.34,54.0,6.86,21.96,13,Clear,Low
33.91,56.8,2.85,10.59,5,Fog,Medium
36.97,70.1,15.0,0.61,22,Snow,High
2.76,41.4,8.31,9.04,18,Clear,Low
25.95,88.9,13.34,5.5,8,Cloudy,Medium
6.34,95.6,7.42,15.38,9,Rain,High
17.69,60.8,14.09,9.43,11,Clear,Low
-0.28,71.4,5.54,13.15,19,Snow,High
7.27,86.3,9.53,21.13,9,Clear,Low
6.89,100.0,5.72,25.37,9,Clear,Low
25.78,93.0,15.0,14.63,16,Cloudy,Low
24.61,33.8,8.25,21.77,6,Rain,Low
18.32,59.3,11.49,10.41,15,Thunderstorm,Medium
-1.21,74.0,10.35,2.07,9,Rain,Medium
11.26,56.1,8.92,1.39,11,Clear,Low
6.05,97.1,10.55,10.24,18,Rain,Medium
25.44,94.3,13.08,19.16,1,Clear,Low
29.14,50.3,11.0,10.26,15,Clear,Low
27.68,62.1,9.49,22.67,6,Clear,Low
5.94,51.5,10.56,28.48,0,Clear,Low
-17.87,61.5,14.75,4.01,7,Cloudy,High
-6.2,60.9,7.75,31.12,18,Heavy Rain,High
32.06,82.2,3.44,2.71,17,Clear,Medium
10.18,49.0,5.71,28.64,6,Cloudy,Low
5.99,17.9,5.93,11.7,9,Clear,Low
34.71,36.1,6.36,9.9,20,Cloudy,Medium
30.18,46.5,6.46,11.93,9,Cloudy,Low
15.29,53.2,8.93,4.8,6,Clear,Low
11.48,68.4,9.74,25.51,10,Snow,High
13.41,45.6,9.71,5.77,18,Cloudy,Medium
17.73,43.2,6.81,6.92,10,Thunderstorm,High
34.2,48.3,11.98,0.41,12,Thunderstorm,High
20.07,44.9,10.6,5.42,17,Clear,Low
23.71,55.0,13.74,5.7,20,Fog,Low
29.03,54.2,11.54,5.09,16,Rain,Medium
0.96,77.4,7.95,10.42,9,Cloudy,Low
24.06,47.2,12.92,1.97,18,Snow,Medium
11.47,58.6,9.82,26.35,18,Cloudy,Low
-15.19,55.2,11.39,10.62,4,Cloudy,High
-10.54,79.6,11.16,15.37,16,Cloudy,Medium
2.78,62.2,8.63,19.76,17,Snow,High
21.37,83.9,9.31,30.22,7,Fog,High
16.37,44.3,8.61,20.19,7,Clear,Medium
17.21,64.1,6.44,9.77,16,Rain,Medium
38.41,54.6,2.57,2.35,0,Clear,High
-0.23,42.9,6.92,15.04,6,Fog,High
14.67,63.8,9.6,21.56,15,Clear,Low
18.65,96.2,12.26,13.28,10,Clear,Low
6.16,49.6,11.39,12.59,0,Heavy Rain,High
15.34,62.7,8.16,13.92,3,Rain,High
-4.2,41.4,6.96,4.83,2,Cloudy,Medium
31.92,38.7,8.46,13.32,12,Rain,Medium
6.82,50.8,6.07,18.59,0,Heavy Rain,High
39.38,56.9,2.65,11.59,18,Clear,Medium
14.61,57.7,4.36,22.11,14,Clear,Low
27.34,60.9,13.12,22.41,12,Cloudy,Low
14.36,35.3,14.57,7.46,4,Rain,Medium
14.63,53.7,11.26,15.98,4,Rain,Low
7.99,74.0,8.83,12.38,19,Cloudy,Low
16.43,40.6,4.82,6.26,14,Rain,Medium
18.82,58.6,8.52,10.32,8,Clear,Low
5.59,70.3,10.84,2.72,5,Cloudy,Low
13.5,50.9,11.49,13.21,8,Cloudy,Low
7.68,71.1,11.07,18.14,7,Clear,Low
42.6,37.6,12.63,10.04,12,Fog,Medium
13.92,81.0,14.83,3.9,6,Thunderstorm,Medium
33.54,71.6,7.78,14.11,18,Cloudy,Low
12.65,66.0,15.0,33.99,1,Clear,Low
18.11,85.2,2.94,7.55,16,Clear,Low
-0.86,59.1,6.67,14.1,0,Cloudy,Medium
9.64,53.9,9.6,7.11,4,Thunderstorm,High
17.53,89.7,10.65,8.17,22,Clear,Low
34.03,98.1,8.46,11.06,18,Cloudy,Low
17.66,52.5,7.51,8.9,23,Cloudy,Medium
31.6,63.0,15.0,17.42,12,Cloudy,Low
22.69,83.8,7.37,9.82,3,Rain,Medium
34.53,63.6,5.94,7.46,23,Rain,High
14.29,75.7,14.07,23.52,18,Heavy Rain,High
43.68,79.0,11.55,22.16,12,Cloudy,Low
9.18,54.9,12.28,6.54,18,Clear,Medium
5.8,72.5,9.59,12.45,6,Rain,Low
0.48,64.9,4.87,22.96,18,Rain,High
42.97,43.1,9.25,21.3,18,Clear,Medium
24.83,47.2,4.46,24.22,3,Snow,High
10.99,53.3,9.73,15.37,0,Heavy Rain,High
29.99,81.7,10.96,18.93,20,Cloudy,Low
23.25,82.3,12.23,24.68,17,Thunderstorm,High
38.59,78.5,8.72,8.91,7,Rain,Medium
-3.57,72.9,11.24,15.97,13,Fog,High
11.82,72.4,6.29,7.32,0,Rain,High
9.45,70.0,11.9,2.22,4,Rain,Medium
-8.68,72.3,11.02,16.5,2,Clear,Medium
27.72,73.6,6.6,17.87,0,Cloudy,Low
11.76,39.7,10.59,8.51,3,Rain,High
23.88,50.8,12.27,6.54,1,Snow,Medium
43.32,46.5,9.24,8.8,22,Fog,Medium
10.76,84.9,6.53,13.73,1,Clear,Low
9.95,94.8,9.53,8.82,3,Rain,High
16.42,26.0,10.66,16.19,11,Clear,Low
26.85,93.2,6.51,12.29,14,Rain,Medium
8.2,66.6,5.98,14.23,16,Clear,Low
7.43,83.2,10.56,10.89,2,Cloudy,High
27.69,74.1,11.47,0.45,3,Cloudy,Low
19.54,90.9,15.0,2.12,0,Snow,High
-9.54,68.8,11.0,25.71,3,Rain,High
0.3,40.5,5.37,6.22,4,Clear,Medium
33.01,63.1,15.0,19.27,19,Rain,Medium
19.82,74.3,12.16,2.26,14,Rain,Low
5.85,61.1,2.98,11.87,5,Cloudy,Low
12.96,76.8,5.91,8.03,2,Clear,Medium
15.16,63.8,7.53,9.41,19,Fog,Medium
23.83,54.3,11.51,8.94,17,Clear,Low
-1.3,45.5,1.86,25.0,2,Clear,High
4.91,57.9,8.64,29.35,13,Rain,Low
18.28,68.7,11.34,14.14,20,Clear,Low
13.8,29.7,0.5,8.29,6,Cloudy,High
21.86,51.0,11.24,0.04,17,Clear,Low
0.25,29.1,11.6,0.58,9,Cloudy,Medium
19.29,53.9,6.46,25.04,3,Cloudy,Low
28.1,86.6,5.54,1.22,6,Cloudy,Low
20.84,43.6,6.41,8.04,8,Clear,Low
16.67,77.7,0.98,13.4,0,Cloudy,High
13.85,100.0,8.02,11.41,7,Rain,Low
4.98,91.2,9.66,0.74,23,Rain,Medium
14.14,67.4,5.34,0.05,3,Clear,Medium
30.12,80.5,11.92,6.01,0,Cloudy,Low
13.57,40.3,9.31,14.33,9,Cloudy,Low
4.32,36.7,9.78,21.25,23,Clear,Medium
9.09,65.5,7.79,6.03,16,Cloudy,Medium
17.41,72.2,11.23,7.85,12,Rain,Low
10.52,84.7,12.87,10.92,17,Fog,High
20.82,54.8,7.78,4.75,0,Clear,Medium
21.27,68.5,11.28,15.76,4,Cloudy,Medium
25.67,67.9,11.32,16.04,20,Fog,Low
32.08,62.6,10.25,12.49,17,Cloudy,Low
26.95,63.7,14.03,17.75,11,Fog,Medium
3.79,49.6,6.82,13.14,6,Rain,Medium
4.16,70.0,7.74,14.33,5,Snow,Medium
14.09,68.5,6.67,22.62,1,Heavy Rain,Medium
9.59,57.1,11.18,4.08,21,Clear,Low
1.34,77.0,8.18,0.7,4,Heavy Rain,High
9.7,83.5,6.91,11.37,19,Clear,Low
9.31,77.2,13.99,8.89,8,Heavy Rain,High
6.94,46.2,14.43,10.1,21,Cloudy,Low
11.21,66.8,8.01,19.61,0,Rain,Medium
29.14,48.6,4.9,15.57,12,Clear,Low
17.39,66.7,14.59,12.71,2,Clear,Medium
44.66,48.7,10.41,9.91,0,Clear,Low
17.05,88.0,10.26,8.15,8,Cloudy,Low
11.52,79.1,9.32,7.63,15,Clear,Low
15.05,85.8,6.6,14.06,22,Clear,Low
18.08,83.9,7.76,1.96,3,Snow,High
20.22,60.1,11.03,25.17,15,Heavy Rain,High
39.92,57.3,7.66,5.36,19,Cloudy,Medium
4.86,96.4,10.3,17.02,22,Rain,Medium
25.31,62.0,9.04,12.72,6,Clear,Low
17.49,40.6,5.83,1.62,0,Rain,High
-3.85,83.1,13.86,23.63,22,Cloudy,Medium
24.25,67.6,10.78,21.73,20,Clear,Low
30.21,92.1,9.99,2.14,6,Rain,Medium
4.71,69.4,10.67,11.34,3,Thunderstorm,Medium
14.89,64.6,3.62,13.87,12,Clear,Low
-5.7,92.5,7.52,6.64,5,Clear,Medium
-0.11,37.3,4.42,7.08,13,Heavy Rain,High
27.58,54.5,9.37,4.5,2,Clear,Medium
9.4,49.0,9.98,0.18,22,Cloudy,Low
1.69,25.5,9.42,2.61,9,Clear,Medium
17.75,80.7,12.54,0.18,3,Clear,Low
8.73,55.0,4.51,10.9,4,Rain,Medium
9.35,81.3,6.6,3.97,15,Thunderstorm,Medium
23.87,72.0,10.24,22.03,17,Rain,High
1.06,75.9,9.79,13.62,2,Snow,High
4.14,56.8,5.05,19.15,18,Clear,Medium
16.85,51.2,12.59,3.19,22,Clear,Low
26.63,66.6,13.63,6.35,6,Cloudy,Low
29.86,81.5,10.28,13.23,14,Clear,Low
7.02,64.1,4.47,16.08,19,Rain,Medium
26.25,52.4,9.48,6.17,22,Thunderstorm,Low
5.59,43.4,10.02,7.49,3,Clear,Low
36.91,68.7,8.18,8.48,21,Fog,Medium
1.39,55.0,13.04,9.32,0,Cloudy,Medium
30.94,63.7,8.65,31.48,13,Clear,Low
7.12,60.7,15.0,14.82,3,Cloudy,Low
39.16,57.0,11.35,12.36,2,Cloudy,Medium
22.1,70.3,9.83,0.67,5,Heavy Rain,Medium
2.81,75.0,11.76,0.88,3,Heavy Rain,High
8.73,100.0,13.59,10.08,1,Rain,Medium
24.37,78.6,11.7,22.17,7,Rain,Medium
27.63,93.7,8.77,10.21,2,Rain,Medium
14.15,50.3,7.02,10.59,9,Clear,Low
15.54,36.2,5.63,5.3,7,Fog,Medium
24.1,64.7,1.68,3.68,12,Clear,Medium
16.58,80.4,9.52,15.93,20,Rain,Low
-0.52,77.6,7.84,9.71,3,Heavy Rain,High
5.24,86.8,8.0,16.01,20,Clear,Low
17.82,19.3,12.09,13.39,12,Cloudy,Low
29.59,87.6,8.66,3.32,23,Clear,Medium
34.39,71.0,14.69,14.03,9,Clear,Low
24.35,37.2,7.28,0.38,2,Rain,Medium
18.45,78.0,6.09,13.96,5,Fog,Low
23.99,68.1,5.23,11.43,0,Clear,Medium
7.0,71.9,11.17,25.87,20,Snow,Medium
13.16,83.0,12.45,4.2,13,Cloudy,Low
5.11,72.7,7.22,0.06,21,Heavy Rain,Medium
0.02,38.5,5.81,8.28,14,Snow,High
19.0,62.4,13.59,17.48,22,Rain,Medium
17.23,35.9,4.65,13.18,5,Cloudy,Medium
23.25,76.7,12.03,19.88,7,Rain,Medium
21.55,90.2,7.29,10.12,19,Rain,Medium
17.91,42.7,10.19,1.72,19,Snow,Medium
21.68,52.9,12.23,8.69,22,Cloudy,Low
14.49,49.1,10.43,5.33,21,Snow,Medium
19.95,56.8,8.11,0.97,7,Cloudy,Medium
6.29,72.4,13.19,5.45,16,Heavy Rain,Medium
19.44,57.0,9.87,18.57,22,Rain,Low
23.02,76.7,15.0,6.96,6,Clear,Low
6.96,84.2,3.88,8.48,2,Cloudy,Medium
15.62,84.8,3.84,19.6,12,Heavy Rain,High
7.52,44.9,11.98,12.5,11,Rain,Low
8.68,89.9,8.9,2.03,16,Cloudy,Low
1.5,91.4,11.38,18.06,4,Heavy Rain,High
30.19,92.9,5.7,25.35,10,Fog,High
27.79,62.2,9.16,16.53,14,Clear,Low
21.45,51.5,10.37,4.21,13,Clear,Low
38.67,47.3,7.37,1.26,1,Thunderstorm,High
12.73,45.2,9.7,3.89,2,Clear,Low
45.0,65.2,4.92,12.93,12,Snow,High
12.27,80.3,10.18,24.84,8,Cloudy,Low
18.06,88.5,13.34,5.17,4,Cloudy,Low
10.23,56.3,5.29,6.16,19,Rain,Medium
19.47,64.3,5.11,21.19,10,Heavy Rain,Medium
25.03,63.1,12.57,8.09,13,Clear,Low
13.63,53.6,5.05,27.43,16,Clear,Medium
36.32,78.2,11.52,10.67,17,Heavy Rain,High
17.87,71.5,9.17,22.51,8,Rain,High
18.25,67.6,7.75,15.45,0,Clear,Medium
4.09,71.4,13.4,18.36,12,Clear,Low
20.02,76.1,11.78,10.41,5,Rain,Low
13.39,75.9,9.84,11.0,23,Rain,High
7.7,49.9,2.54,15.77,21,Heavy Rain,High
5.68,81.1,11.14,19.18,21,Snow,High
45.0,69.6,5.79,16.73,18,Rain,High
11.84,57.2,8.34,3.91,23,Rain,High
-2.48,69.2,9.02,14.32,22,Cloudy,Low
6.62,71.2,14.69,6.09,4,Cloudy,Low
14.38,84.5,8.24,7.09,14,Thunderstorm,High
21.56,46.2,4.73,16.12,11,Clear,Low
21.66,88.8,13.41,27.28,0,Cloudy,Medium
23.12,65.4,11.18,9.91,18,Clear,Low
7.26,55.9,11.29,29.76,2,Rain,Medium
19.09,55.3,13.47,2.13,22,Heavy Rain,Medium
4.49,47.0,14.17,23.09,16,Clear,Low
7.56,33.7,6.32,15.88,5,Heavy Rain,Medium
3.99,77.2,4.83,13.88,0,Rain,Medium
0.74,100.0,11.53,24.45,23,Fog,High
27.77,35.9,8.21,6.27,19,Snow,Medium
23.26,47.9,8.48,23.5,10,Heavy Rain,Medium
26.72,78.5,5.63,10.13,19,Clear,Low
